Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.104e-07,-0.04,0.02,0,0
-1.100e-07,0,0.028,0,0
-1.096e-07,-0.04,0.028,0,0
-1.092e-07,-0.04,0.02,0,-0.008
-1.088e-07,0,0.012,0.008,0
-1.084e-07,0,0.012,0.008,-0.008
-1.080e-07,-0.04,0.012,0.008,-0.008
-1.076e-07,0,0.02,0,0
-1.072e-07,0,0.012,0,-0.008
-1.068e-07,0,0.004,0,-0.008
-1.064e-07,0,-0.004,0.008,-0.008
-1.060e-07,0,-0.012,0.008,0.008
-1.056e-07,0,-0.012,0,0
-1.052e-07,0,-0.004,0,0
-1.048e-07,0,-0.004,0.008,-0.008
-1.044e-07,0,-0.004,0,-0.016
-1.040e-07,-0.04,-0.012,0.008,0
-1.036e-07,0,-0.012,0.016,0
-1.032e-07,0,-0.012,0,-0.008
-1.028e-07,-0.04,0.004,0,-0.008
-1.024e-07,-0.04,0.004,0,0
-1.020e-07,0,0.004,0.008,0.008
-1.016e-07,0,0.004,0.016,0.016
-1.012e-07,0,-0.012,0.016,0.008
-1.008e-07,0,-0.004,0.008,0.016
-1.004e-07,-0.04,0.012,0,0.016
-1.000e-07,-0.04,0.004,0.016,0.016
-9.960e-08,0,0.004,0.008,0.016
-9.920e-08,-0.04,0.004,0.016,0.024
-9.880e-08,-0.04,0.004,0.016,0.008
-9.840e-08,0,0.004,0.016,0
-9.800e-08,0,0.004,0.024,0.008
-9.760e-08,-0.04,-0.004,0.008,0.008
-9.720e-08,-0.04,-0.012,0.008,-0.008
-9.680e-08,-0.04,-0.012,0,-0.016
-9.640e-08,-0.04,-0.004,-0.008,-0.016
-9.600e-08,-0.04,-0.004,0,-0.016
-9.560e-08,-0.04,-0.012,-0.008,-0.016
-9.520e-08,0,-0.012,-0.008,-0.016
-9.480e-08,0,-0.012,0.008,0
-9.440e-08,-0.04,-0.02,0.008,0
-9.400e-08,0,-0.012,0.008,0
-9.360e-08,-0.04,-0.012,0.016,-0.008
-9.320e-08,-0.04,-0.004,0.016,-0.008
-9.280e-08,0,0.004,0.016,0
-9.240e-08,0,0.004,0.008,0
-9.200e-08,-0.04,0.004,0,-0.008
-9.160e-08,-0.04,-0.004,0.008,0
-9.120e-08,0,0.012,0.016,0
-9.080e-08,0,0.02,0.016,0
-9.040e-08,0,0.02,0.016,0.016
-9.000e-08,-0.04,0.02,0.016,0.008
-8.960e-08,-0.04,0.012,0.008,0.008
-8.920e-08,-0.04,0.004,0.016,0.008
-8.880e-08,-0.04,0.012,0.008,0
-8.840e-08,0,0.012,0.016,0
-8.800e-08,-0.04,0.004,0.016,0.008
-8.760e-08,-0.04,0.004,0.008,0
-8.720e-08,-0.04,-0.012,0.016,0
-8.680e-08,-0.04,-0.004,0,0.008
-8.640e-08,0,-0.004,-0.008,0
-8.600e-08,-0.04,-0.004,0,-0.008
-8.560e-08,-0.04,-0.012,0,-0.016
-8.520e-08,0,-0.012,0,-0.016
-8.480e-08,-0.04,-0.012,-0.008,-0.016
-8.440e-08,-0.04,-0.02,0,-0.008
-8.400e-08,-0.04,-0.012,0,-0.008
-8.360e-08,0,-0.012,0,-0.008
-8.320e-08,-0.04,-0.02,0,-0.008
-8.280e-08,0,-0.012,-0.008,0.008
-8.240e-08,-0.04,-0.004,-0.008,0
-8.200e-08,0,0.004,0,-0.008
-8.160e-08,-0.04,0.012,0,0
-8.120e-08,0,0.012,0,-0.008
-8.080e-08,-0.04,0.012,0.008,0
-8.040e-08,0,0.004,0,0.008
-8.000e-08,0,0.004,0.016,0.016
-7.960e-08,-0.04,0.004,0.016,0.016
-7.920e-08,0,0.012,0.024,0.016
-7.880e-08,0,0.012,0.016,0.008
-7.840e-08,0,0.004,0.024,0
-7.800e-08,0.04,-0.004,0.024,0
-7.760e-08,0,0.004,0.024,0.008
-7.720e-08,0,0.012,0.008,0.008
-7.680e-08,-0.04,0.004,0.008,0.008
-7.640e-08,-0.04,0.004,0,0.008
-7.600e-08,-0.04,0.004,0.008,-0.008
-7.560e-08,0,-0.012,0.016,0
-7.520e-08,0,-0.004,0.008,-0.008
-7.480e-08,0,-0.004,0.008,0.008
-7.440e-08,-0.04,-0.012,0.008,0
-7.400e-08,0,-0.012,0,0.016
-7.360e-08,0,-0.012,-0.008,0.016
-7.320e-08,0,-0.012,0,0.008
-7.280e-08,0,-0.004,0.008,0
-7.240e-08,-0.04,-0.004,0,-0.008
-7.200e-08,0,-0.004,-0.008,-0.008
-7.160e-08,0,-0.012,-0.008,-0.008
-7.120e-08,0,-0.012,-0.008,-0.008
-7.080e-08,-0.04,-0.012,0,0.008
-7.040e-08,0,-0.012,0.008,0
-7.000e-08,0,-0.012,0.008,-0.008
-6.960e-08,0,-0.004,0.008,-0.008
-6.920e-08,0,-0.004,0.008,-0.008
-6.880e-08,-0.04,0.012,0.016,0
-6.840e-08,0,0.02,0.016,0
-6.800e-08,-0.04,0.012,0.016,0.016
-6.760e-08,-0.04,0.004,0.016,0.016
-6.720e-08,-0.04,0.004,0.008,0.008
-6.680e-08,-0.04,0.004,0.008,0
-6.640e-08,0.04,0.012,0.008,0.008
-6.600e-08,0,0.012,0.008,0.016
-6.560e-08,0,0.004,0.008,0.016
-6.520e-08,-0.04,-0.004,0.016,0.008
-6.480e-08,0,0.012,0.008,0
-6.440e-08,0,-0.004,0.016,0
-6.400e-08,-0.04,-0.004,0.008,0.016
-6.360e-08,-0.04,-0.004,0,0
-6.320e-08,0,-0.012,0,0
-6.280e-08,0,-0.012,0,0
-6.240e-08,-0.04,-0.012,-0.008,0
-6.200e-08,-0.04,0.004,-0.016,0
-6.160e-08,0,-0.012,-0.008,0
-6.120e-08,-0.04,-0.004,0,0
-6.080e-08,-0.04,-0.004,0,0
-6.040e-08,-0.04,-0.004,0.008,0
-6.000e-08,-0.04,0.004,0.008,0
-5.960e-08,0,0.012,0.008,0
-5.920e-08,0,0.004,0.008,0
-5.880e-08,-0.04,-0.004,0.016,0
-5.840e-08,0,-0.012,0.016,0
-5.800e-08,0,0.012,0.016,0
-5.760e-08,0,0.012,0.016,0.008
-5.720e-08,-0.04,0.02,0.008,0
-5.680e-08,-0.04,0.012,0.016,0
-5.640e-08,0,0.012,0.008,0.016
-5.600e-08,0,0.012,0.008,0.016
